symbol,month,status,rows,file
AAPL,2021-01,skipped_existing,,data\marketaux_monthly\AAPL\2021-01.parquet
AAPL,2021-02,skipped_existing,,data\marketaux_monthly\AAPL\2021-02.parquet
AAPL,2021-03,skipped_existing,,data\marketaux_monthly\AAPL\2021-03.parquet
AAPL,2021-04,skipped_existing,,data\marketaux_monthly\AAPL\2021-04.parquet
AAPL,2021-05,skipped_existing,,data\marketaux_monthly\AAPL\2021-05.parquet
AAPL,2021-06,skipped_existing,,data\marketaux_monthly\AAPL\2021-06.parquet
AAPL,2021-07,skipped_existing,,data\marketaux_monthly\AAPL\2021-07.parquet
AAPL,2021-08,skipped_existing,,data\marketaux_monthly\AAPL\2021-08.parquet
AAPL,2021-09,skipped_existing,,data\marketaux_monthly\AAPL\2021-09.parquet
AAPL,2021-10,skipped_existing,,data\marketaux_monthly\AAPL\2021-10.parquet
AAPL,2021-11,skipped_existing,,data\marketaux_monthly\AAPL\2021-11.parquet
AAPL,2021-12,skipped_existing,,data\marketaux_monthly\AAPL\2021-12.parquet
AAPL,2022-01,skipped_existing,,data\marketaux_monthly\AAPL\2022-01.parquet
AAPL,2022-02,skipped_existing,,data\marketaux_monthly\AAPL\2022-02.parquet
AAPL,2022-03,skipped_existing,,data\marketaux_monthly\AAPL\2022-03.parquet
AAPL,2022-04,skipped_existing,,data\marketaux_monthly\AAPL\2022-04.parquet
AAPL,2022-05,skipped_existing,,data\marketaux_monthly\AAPL\2022-05.parquet
AAPL,2022-06,skipped_existing,,data\marketaux_monthly\AAPL\2022-06.parquet
AAPL,2022-07,skipped_existing,,data\marketaux_monthly\AAPL\2022-07.parquet
AAPL,2022-08,skipped_existing,,data\marketaux_monthly\AAPL\2022-08.parquet
AAPL,2022-09,skipped_existing,,data\marketaux_monthly\AAPL\2022-09.parquet
AAPL,2022-10,skipped_existing,,data\marketaux_monthly\AAPL\2022-10.parquet
AAPL,2022-11,skipped_existing,,data\marketaux_monthly\AAPL\2022-11.parquet
AAPL,2022-12,skipped_existing,,data\marketaux_monthly\AAPL\2022-12.parquet
AAPL,2023-01,skipped_existing,,data\marketaux_monthly\AAPL\2023-01.parquet
AAPL,2023-02,skipped_existing,,data\marketaux_monthly\AAPL\2023-02.parquet
AAPL,2023-03,skipped_existing,,data\marketaux_monthly\AAPL\2023-03.parquet
AAPL,2023-04,skipped_existing,,data\marketaux_monthly\AAPL\2023-04.parquet
AAPL,2023-05,skipped_existing,,data\marketaux_monthly\AAPL\2023-05.parquet
AAPL,2023-06,skipped_existing,,data\marketaux_monthly\AAPL\2023-06.parquet
AAPL,2023-07,skipped_existing,,data\marketaux_monthly\AAPL\2023-07.parquet
AAPL,2023-08,skipped_existing,,data\marketaux_monthly\AAPL\2023-08.parquet
AAPL,2023-09,skipped_existing,,data\marketaux_monthly\AAPL\2023-09.parquet
